District IRN,District Name,Address,City,ZIP Code,County,Region,Superintendent,District Phone
044255,London City,380 Elm St 2nd Fl,London,43140-9220,Madison,Region 11,Louis A. Kramer,(740) 852-5700
044263,Lorain City,2601 Pole Ave,Lorain,44052-4303,Lorain,Region 2,Jeffrey M. Graham,(440) 233-2271
044271,Loveland City,757 S Lebanon Rd,Loveland,45140-9308,Hamilton,Region 13,Michael R. Broadwater,(513) 683-5600
044289,Madeira City,7465 Loannes Dr,Cincinnati,45243-1851,Hamilton,Region 13,Kenji Matsudo,(513) 985-6070
044297,Mansfield City,856 W Cook Rd,Mansfield,44907-5012,Richland,Region 7,Stan Jefferson,(419) 525-6400
044305,Maple Heights City,5740 Lawn Ave,Maple Heights,44137-3870,Cuyahoga,Region 3,Olympia A. Della Flora,(216) 587-6100
044313,Mariemont City,2 Warrior Way,Cincinnati,45227-3600,Hamilton,Region 13,Steven E. Estepp,(513) 272-7500
044321,Marietta City,111 Academy Dr,Marietta,45750-8053,Washington,Region 16,Bradley K. Silvus,(740) 374-6500
044339,Marion City,910 E Church St,Marion,43302-5173,Marion,Region 7,Kevin M. Hainer,(740) 223-4402
044347,Martins Ferry City,5001 Ayers Limestone Rd,Martins Ferry,43935-1588,Belmont,Region 12,James Fogle,(740) 633-1732
044354,Massillon City,930 17th St NE,Massillon,44646-4853,Stark,Region 9,Paul J. Salvino,(330) 830-3900
044362,Maumee City,716 Askin St,Maumee,43537-3602,Lucas,Region 1,Steven T. Lee,(419) 893-3200
044370,Mayfield City,1101 S.O.M. Center Road,Mayfield Heights,44124-2006,Cuyahoga,Region 3,Michael J. Barnes,(440) 995-7201
044388,Medina City SD,739 Weymouth Rd,Medina,44256-2037,Medina,Region 8,Aaron J. Sable,(330) 636-3031
044396,Miamisburg City,540 E Park Ave,Miamisburg,45342-2854,Montgomery,Region 10,LAURA L. BLESSING,(937) 866-3381
044404,Middletown City,1 Donham Plz 4th Fl,Middletown,45042-1932,Butler,Region 13,Deborah A. Houser,(513) 423-0781
044412,Mt Healthy City,7615 Harrison Ave,Cincinnati,45231-3107,Hamilton,Region 13,Valerie S. Hawkins,(513) 729-0077
044420,Mount Vernon City,300 Newark Rd,Mount Vernon,43050-4510,Knox,Region 7,William D. Seder,(740) 397-7422
044438,Napoleon Area City,701 Briarheath Ave Ste 108,Napoleon,43545-1251,Henry,Region 1,Erik M. Belcher,(419) 599-7015
044446,Nelsonville-York City,2 Buckeye Dr,Nelsonville,45764-9591,Athens,Region 16,Ricky D. Edwards,(740) 753-4441
044453,Newark City,621 Mount Vernon Rd,Newark,43055-4615,Licking,Region 11,David L. Lewis,(740) 670-7005
044461,New Boston Local,#1 Glenwood Tiger Trail,New Boston,45662,Scioto,Region 15,Melinda M. Burnside,(740) 456-4626
044479,New Lexington School District,2549 Panther Drive,New Lexington,43764-0630,Perry,Region 16,Casey H. Coffey,(740) 342-4133
044487,New Philadelphia City,248 Front Ave SW,New Philadelphia,44663-2150,Tuscarawas,Region 12,Amy D. Wentworth,(330) 364-0600
044495,Niles City,309 N Rhodes Ave,Niles,44446-3821,Trumbull,Region 5,Ann Marie A. Thigpen,(330) 989-5095
044503,North Canton City,525 7th St NE,North Canton,44720-2012,Stark,Region 9,Jeff S. Wendorf,(330) 497-5600
044511,North College Hill City,1731 Goodman Ave,Cincinnati,45239-4844,Hamilton,Region 13,Eugene E. Blalock,(513) 931-8181
044529,North Olmsted City,26669 Butternut Ridge Rd,North Olmsted,44070-3154,Cuyahoga,Region 3,Christopher G. Caleris,(440) 588-5308
044537,North Ridgeville City,34620 Bainbridge Rd,North Ridgeville,44039-2339,Lorain,Region 2,Roxann R. Ramsey-Caserio,(440) 327-4444
044545,North Royalton City,6579 Royalton Rd,North Royalton,44133-4925,Cuyahoga,Region 3,Michael K. Laub Jr,(440) 237-8800
044552,Norton City,4128 Cleveland Massillon Rd,Norton,44203-5633,Summit,Region 8,Bryan N. Farson,(330) 825-0863
044560,Norwalk City,134 Benedict Ave,Norwalk,44857-2349,Huron,Region 2,Bradley E. Cooley,(419) 668-2779
044578,Norwood City,2132 Williams Ave,Norwood,45212-3806,Hamilton,Region 13,Mary A. Ronan,(513) 924-2500
044586,Oakwood City,20 Rubicon Rd,Dayton,45409-2239,Montgomery,Region 10,Neil K. Gupta,(937) 297-5332
044594,Oberlin City Schools,153 N Main St,Oberlin,44074-1173,Lorain,Region 2,David H. Hall,(440) 774-1458
044602,Oregon City,5721 Seaman St,Oregon,43616-2631,Lucas,Region 1,Hal D. Gregory,(419) 693-0661
044610,Orrville City,815 N Ella St,Orrville,44667-1154,Wayne,Region 9,David M. Toth,(330) 682-4651
044628,Painesville City Local,58 Jefferson St,Painesville,44077-3114,Lake,Region 4,Joshua M. Englehart,(440) 392-5060
044636,Parma City,7377 Chateau Dr,Parma,44130-0932,Cuyahoga,Region 3,Charles A. Smialek,(440) 842-5300
044644,Piqua City,215 Looney Rd,Piqua,45356-2411,Miami,Region 10,Dwayne A. Thompson,(937) 773-4321
044651,Port Clinton City,811 Jefferson St,Port Clinton,43452-2415,Ottawa,Region 1,Patrick D. Adkins,(419) 732-2102
044669,Portsmouth City,724 Findlay St,Portsmouth,45662-4113,Scioto,Region 15,Matthew J. McCorkle,(740) 354-4727
044677,Princeton City,3900 Cottingham Dr,Cincinnati,45241-1616,Hamilton,Region 13,Gary E. Card,(513) 864-1000
044685,Ravenna City,534 Summit St,Ravenna,44266-3257,Portage,Region 8,Benjamin M. Ribelin,(330) 296-9679
044693,Reading Community City,810 E Columbia Ave,Reading,45215-3322,Hamilton,Region 13,Damon C. Davis,(513) 554-1800
044701,Rocky River City,1101 Morewood Pkwy,Rocky River,44116-1439,Cuyahoga,Region 3,Michael G. Shoaf,(440) 333-6000
044719,St Bernard-Elmwood Place City,105 Washington Ave,Saint Bernard,45217-1317,Hamilton,Region 13,Mary Eleanor E. Webb,(513) 482-7121
044727,St Marys City,2250 State Route 66,Saint Marys,45885-2312,Auglaize,Region 6,George W. Ruane,(419) 394-4312
044735,Salem City,1226 E State St,Salem,44460-2222,Columbiana,Region 5,Sean P. Kirkland,(330) 332-0316
044743,Sandusky City,407 Decatur St,Sandusky,44870-2442,Erie,Region 2,Daniel J. Rambler,(419) 626-6940
044750,Shaker Heights City,15600 Parkland Dr,Shaker Heights,44120-2529,Cuyahoga,Region 3,David P. Glasner,(216) 295-1400
044768,Sheffield-Sheffield Lake City,1824 Harris Rd,Sheffield Village,44054-2628,Lorain,Region 2,Michael F. Cook,(440) 949-6181
044776,Shelby City,109 W Smiley Ave,Shelby,44875-1576,Richland,Region 7,Michael G. Browning,(419) 342-3520
044784,Sidney City,750 S 4th Ave,Sidney,45365-1163,Shelby,Region 6,Robert J. Humble,(937) 497-2200
044792,South Euclid-Lyndhurst City,5044 Mayfield Rd,Lyndhurst,44124-2605,Cuyahoga,Region 3,Dominick A. Kaple,(216) 691-2000
044800,South-Western City,3805 Marlane Dr,Grove City,43123-9224,Franklin,Region 11,Randy W. Banks,(614) 801-3000
044818,Springfield City School District,1500 W Jefferson St,Springfield,45506-1224,Clark,Region 10,Robert F. Hill,(937) 505-2800
044826,Steubenville City,611 N 4th St,Steubenville,43952-2678,Jefferson,Region 12,Melinda M. Young,(740) 283-3767
044834,Stow-Munroe Falls City School District,4350 Allen Rd,Stow,44224-1032,Summit,Region 8,Felisha Gould,(330) 689-5445
044842,Strongsville City,18199 Cook Ave,Strongsville,44136-5216,Cuyahoga,Region 3,Cameron M. Ryba,(440) 572-7000
044859,Struthers City,99 Euclid Ave,Struthers,44471-1831,Mahoning,Region 5,Peter J. Pirone,(330) 750-1061
044867,Sycamore Community City,5959 Hagewa Dr,Blue Ash,45242-6240,Hamilton,Region 13,Chad A. Lewis,(513) 686-1700
044875,Sylvania Schools,4747 N Holland Sylvania Rd,Sylvania,43560-2116,Lucas,Region 1,Veronica L. Motley,(419) 824-8501
044883,Tallmadge City,486 East Ave,Tallmadge,44278-2000,Summit,Region 8,Steven Wood,(330) 633-3291
044891,Tiffin City Schools,244 S Monroe St,Tiffin,44883-2906,Seneca,Region 7,Gerald L. Nadeau,(419) 447-2515
044909,Toledo City,1609 N Summit St,Toledo,43604-1806,Lucas,Region 1,Romules L. Durant,(419) 671-0500
044917,Toronto City,1307 Dennis Way,Toronto,43964-1952,Jefferson,Region 12,Maureen R. Taggart,(740) 537-2456
044925,Troy City,500 N Market St,Troy,45373-1418,Miami,Region 10,Christopher M. Piper,(937) 332-6700
044933,Upper Arlington City,1619 Zollinger Rd,Upper Arlington,43221-4326,Franklin,Region 11,Robert W. Hunt,(614) 487-5000
044941,Urbana City,711 Wood St,Urbana,43078-1498,Champaign,Region 6,Charles B. Thiel,(937) 653-1402
044958,Vandalia-Butler City,500 S Dixie Dr,Vandalia,45377-2128,Montgomery,Region 10,Robert M. O'Leary,(937) 415-6400
044966,Van Wert City,205 W Crawford St,Van Wert,45891-1903,Van Wert,Region 1,Mark A. Bagley,(419) 238-0648
044974,Wadsworth City,524 Broad St,Wadsworth,44281-2306,Medina,Region 8,Andrew J. Hill,(330) 336-3571
044982,Wapakoneta City,1102 Gardenia Dr,Wapakoneta,45895-1063,Auglaize,Region 6,Aaron M. Rex,(419) 739-2900
044990,Warren City,105 High Street,Warren,44481,Trumbull,Region 5,Stephen G. Chiaro,(330) 841-2321
045005,Warrensville Heights City,4743 Richmond Rd,Warrensville Heights,44128-4134,Cuyahoga,Region 3,Donald J. Jolly,(216) 364-1014
045013,Washington Court House City,306 Highland Ave,Washington Court Hou,43160-1819,Fayette,Region 14,Thomas S. Bailey,(740) 335-6620
045021,Wellston City,1 E Broadway St,Wellston,45692-1225,Jackson,Region 16,Brian E. Rau,(740) 384-2152
045039,Wellsville Local,929 Center St,Wellsville,43968-1423,Columbiana,Region 5,David M. Cappuzzello,(330) 532-2643
045047,Westerville City,936 Eastwind Dr Ste 200,Westerville,43081-3319,Franklin,Region 11,Angela S. Hamberg,(614) 797-5700
045054,West Carrollton City,430 E Pease Ave,West Carrollton,45449-1357,Montgomery,Region 10,Andrea Townsend,(937) 859-5121
045062,Westlake City,24365 Hilliard Blvd,Westlake,44145-3518,Cuyahoga,Region 3,Scott E. Goggin,(440) 871-7300
045070,Whitehall City,625 S Yearling Rd,Whitehall,43213-2861,Franklin,Region 11,Sharee N. Wells,(614) 417-5000
045088,Wickliffe City,2221 Rockefeller Rd,Wickliffe,44092-2020,Lake,Region 4,Joseph G. Spiccia,(440) 943-6900
045096,Willard City,123 W Whisler Dr,Willard,44890-1425,Huron,Region 7,Jeffery R. Ritz,(419) 935-1541
045104,Willoughby-Eastlake City,35353 Curtis Blvd,Eastlake,44095-4065,Lake,Region 4,Patrick A. Ward,(440) 946-5000
045112,Wilmington City,341 S Nelson Ave,Wilmington,45177-2034,Clinton,Region 14,Timothy Dettwiller,(937) 382-1641
045120,Wooster City,144 N Market St,Wooster,44691-4810,Wayne,Region 9,Gabriel D. Tudor,(330) 264-0869
045138,Worthington City,200 E Wilson Bridge Rd,Worthington,43085-2332,Franklin,Region 11,Trent H. Bowers,(614) 450-6000
045146,Wyoming City,420 Springfield Pike,Wyoming,45215-4298,Hamilton,Region 13,Timothy J. Weber,(513) 206-7000
045153,Xenia Community City,819 Colorado Dr,Xenia,45385-4859,Greene,Region 10,Gabriel E. Lofton,(937) 376-2961
045161,Youngstown City,20 W Wood St,Youngstown,44503-1028,Mahoning,Region 5,Jeremy Batchelor,(330) 744-6900
045179,Zanesville City,956 Moxahala Ave,Zanesville,43701-5533,Muskingum,Region 12,Laura D. Tompkins,(740) 454-9751
045187,Ada Exempted Village,725 W North Ave,Ada,45810-1176,Hardin,Region 6,Julie A. Simmons,(419) 634-6421
045195,Amherst Exempted Village,550 Milan Ave,Amherst,44001-1605,Lorain,Region 2,Michael R. Molnar,(440) 988-4406
045203,Barnesville Exempted Village,210 W Church St,Barnesville,43713-1069,Belmont,Region 12,Micah J. Fuchs,(740) 425-3615
045211,Bluffton Exempted Village,102 S Jackson St,Bluffton,45817-1218,Allen,Region 6,Gregory J. Denecker,(419) 358-5901
045229,Bradford Exempted Village,760 Railroad Ave,Bradford,45308-8605,Miami,Region 10,Joseph E. Hurst,(937) 448-2770
045237,Bridgeport Exempted Village,55781 National Rd,Bridgeport,43912-1528,Belmont,Region 12,Brent A. Ripley,(740) 635-1713
045245,Harrison Hills City,100 Huskies Way,Cadiz,43907-1067,Harrison,Region 12,Duran W. Morgan,(740) 942-7800
045252,Caldwell Exempted Village,516 Fairground St,Caldwell,43724-1175,Noble,Region 12,Gregory T. Gifford,(740) 732-5637
045260,Carey Exempted Village Schools,2016 Blue Devil Drive,Carey,43316-1282,Wyandot,Region 7,Michael A. Wank,(419) 396-7922
045278,Carrollton Exempted Village,205 Scio Road SW,Carrollton,44615-8521,Carroll,Region 12,David L. Davis,(330) 627-2181
045286,Chagrin Falls Exempted Village,400 E Washington St,Chagrin Falls,44022-2924,Cuyahoga,Region 3,Jennifer M. Penczarski,(440) 247-5500
045294,Chesapeake Union Exempted Village,10183 County Road 1,Chesapeake,45619-7032,Lawrence,Region 15,Doug W. Hale,(740) 867-3135
045302,Clyde-Green Springs Exempted Village,106 S Main St,Clyde,43410-1633,Sandusky,Region 1,Lucas J. Messer,(419) 547-0588
045310,Coldwater Exempted Village,310 N 2nd St,Coldwater,45828-1242,Mercer,Region 6,Douglas P. Mader,(419) 678-2611
045328,Columbiana Exempted Village,700 Columbiana Waterford Rd,Columbiana,44408-9499,Columbiana,Region 5,Donald J. Mook,(330) 482-5353
045336,Covington Exempted Village,807 Chestnut St,Covington,45318-1760,Miami,Region 10,Joseph T. Hoelzle,(937) 473-2249
045344,Crestline Exempted Village,401 Heiser Ct,Crestline,44827-1360,Crawford,Region 7,James R. Saxer,(419) 683-3647
045351,Crooksville Exempted Village,4065 Ceramic Way,Crooksville,43731,Perry,Region 16,Kevin C. Smith,(740) 982-7040
045369,Fairport Harbor Exempted Village,329 Vine St,Fairport Harbor,44077-5741,Lake,Region 4,William C. Billington,(440) 354-5400
045377,Georgetown Exempted Village,1043 Mount Orab Pike,Georgetown,45121-8440,Brown,Region 14,Bradley E. Winterod,(937) 378-3565
045385,Gibsonburg Exempted Village,301 S Sunset Ave,Gibsonburg,43431-1264,Sandusky,Region 1,Robert N. Falkenstein,(419) 637-2479
045393,Granville Exempted Village,130 N Granger St,Granville,43023-1382,Licking,Region 11,Jeffrey R. Brown,(740) 587-8101
045401,Greenfield Exempted Village,200 N 5th St,Greenfield,45123-1373,Highland,Region 14,Quincey A. Gray,(937) 981-2152
045419,Hicksville Exempted Village School District,958 E High St,Hicksville,43526-1258,Defiance,Region 1,Keith L. Countryman,(419) 542-7665
045427,Hubbard Exempted Village,108 Orchard Ave,Hubbard,44425-1724,Trumbull,Region 5,Raymond W. Soloman,(330) 534-1921
045435,Indian Hill Exempted Village,6855 Drake Rd,Cincinnati,45243-2737,Hamilton,Region 13,Kirk Koennecke,(513) 272-4500
045443,Leetonia Exempted Village School District,450 Walnut St,Leetonia,44431-1075,Columbiana,Region 5,Gerald A. Delboccio,(330) 427-6594
045450,Lisbon Exempted Village,317 N Market St,Lisbon,44432-1145,Columbiana,Region 5,Joseph E. Siefke,(330) 424-7714
045468,Loudonville-Perrysville Exempted Village,210 E Main St,Loudonville,44842-1245,Ashland,Region 7,Jennifer L. Allerding,(419) 994-3912
045476,Marysville Exempted Village,212 Chestnut St,Marysville,43040-2105,Union,Region 11,Diane M. Allen,(937) 578-6100
045484,Mechanicsburg Exempted Village,60 High St,Mechanicsburg,43044-1071,Champaign,Region 6,Danielle M. Prohaska,(937) 834-2453
045492,Mentor Exempted Village,6451 Center St,Mentor,44060-4109,Lake,Region 4,Craig M. Heath,(440) 255-4444
045500,Milford Exempted Village,1099 State Route 131,Milford,45150-1607,Clermont,Region 13,John W. Spieser,(513) 831-1314
045518,Milton-Union Exempted Village,7610 Milton Potsdam Rd,West Milton,45383-9602,Miami,Region 10,Brad M. Ritchey,(937) 884-7910
045526,Montpelier Exempted Village,1015 E Brown Rd,Montpelier,43543-2026,Williams,Region 1,Travis L. Lichty,(419) 485-6700
045534,Mount Gilead Exempted Village,145 N Cherry St,Mount Gilead,43338-1266,Morrow,Region 7,Zachary B. Howard,(419) 946-1646
045542,Newcomerstown Exempted Village,702 S River St,Newcomerstown,43832-1450,Tuscarawas,Region 12,Jason C. Peoples,(740) 498-8373
045559,New Richmond Exempted Village,1135 Bethel New Richmond Rd,New Richmond,45157-8530,Clermont,Region 13,Tracey D. Miller,(513) 553-2616
045567,Newton Falls Exempted Village,909 1/2 Milton Blvd,Newton Falls,44444-9707,Trumbull,Region 5,Andreas E. Johansson,(330) 872-5445
045575,Paulding Exempted Village,405 N Water St,Paulding,45879-1251,Paulding,Region 1,Christopher D. Etzler,(419) 399-4656
045583,Perrysburg Exempted Village,140 E Indiana Ave,Perrysburg,43551-2261,Wood,Region 1,Thomas L. Hosler,(419) 874-9131
045591,Rittman Exempted Village,100 Saurer St,Rittman,44270-1259,Wayne,Region 9,James J. Ritchie,(330) 927-7400
045609,Rossford Exempted Village,701 Superior St,Rossford,43460-1317,Wood,Region 1,Daniel Creps,(419) 666-2010
045617,Tipp City Exempted Village,90 S Tippecanoe Dr,Tipp City,45371-1139,Miami,Region 10,Aaron M. Moran,(937) 667-8444
045625,Upper Sandusky Exempted Village,800 N Sandusky Ave,Upper Sandusky,43351-1032,Wyandot,Region 7,Eric D. Landversicht,(419) 294-2307
045633,Versailles Exempted Village,459 S Center St,Versailles,45380-1105,Darke,Region 10,David L. Harmon,(937) 526-4773
045641,Wauseon Exempted Village,930 E Oak St,Wauseon,43567-1350,Fulton,Region 1,Troy A. Armstrong,(419) 335-6616
045658,Wellington Exempted Village,305 Union St,Wellington,44090-1072,Lorain,Region 2,Andrew J. Peltz,(440) 647-4286
045666,Windham Exempted Village,9530 Bauer Ave,Windham,44288-1004,Portage,Region 8,Michael A. Dobran,(330) 326-2711
