State,StateName,DistrictName,Phone,Website,Address,City,StateAbbr,Zip,NCES_ID,Type,LowestGrade,HighestGrade,Superintendent
AL,ALABAMA,Autauga County,(334)365-5706,http://acboe.net,153 W 4th St,Prattville,AL,36067,0100240,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Baldwin County,(251)937-0308,http://www.bcbe.org,2600 North Hand Ave,Bay Minette,AL,36507,0100270,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Barbour County,(334)367-8280,http://www.barbourcountyschools.org,168 Western Bypass,Clayton,AL,36016,0100300,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Bessemer City,(205)432-3000,http://www.bessk12.org,1621 5th Ave N,Bessemer,AL,35020,0100330,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Bibb County,(205)926-9881,http://www.bibbed.org,721 Walnut Street,Centreville,AL,35042,0100360,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Birmingham City,(205)231-4220,http://www.bhamcityschools.org,2015 Park Place North,Birmingham,AL,35203,0100390,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Blount County,(205)775-1950,http://www.blountboe.net,415 5th Avenue East,Oneonta,AL,35121,0100420,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Brewton City,(251)867-8400,http://www.brewtoncityschools.org/,811 Belleville Ave,Brewton,AL,36426,0100450,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Bullock County,(334)513-1416,http://108 Hardaway Avenue West,108 Hardaway Avenue,Union Springs,AL,36089,0100480,Regular public school district that is not a component of a supervisory union,KG,12,
AL,ALABAMA,Butler County,(334)382-2665,http://www.butlerco.k12.al.us,211 School Highlands Road,Greenville,AL,36037,0100510,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Calhoun County,(256)741-7400,http://www.calhouncountyschools.com,4400 McClellan Blvd,Anniston,AL,36206,0100540,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Chambers County,(334)864-9343,http://www.chambersk12.org,1298  AVC Drive,Lafayette,AL,36862,0100600,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Cherokee County,(256)927-3362,http://www.cherokeek12.org,130 E Main St,Centre,AL,35960,0100630,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Chilton County,(205)280-3000,http://www.chilton.k12.al.us,1705 Lay Dam Rd,Clanton,AL,35045,0100660,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Choctaw County,(205)459-3031,http://www.choctawal.org,107 Tom Orr Dr,Butler,AL,36904,0100690,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Clarke County,(251)250-2155,http://www.clarkecountyschools.org,155 W Cobb St,Grove Hill,AL,36451,0100720,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Clay County,(256)396-1475,http://www.claycoboe.org,62 Court Square,Ashland,AL,36251,0100750,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Cleburne County,(256)463-5624,http://www.cleburneschools.net,141 Davenport Drive,Heflin,AL,36264,0100780,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Coffee County,(334)897-5016,http://www.coffeecountyschools.org,400 Reddoch Hill Rd,Elba,AL,36323,0100810,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Colbert County,(256)386-8565,http://www.colbert.k12.al.us,425 Highway 72 West,Tuscumbia,AL,35674,0100840,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Conecuh County,(251)578-1752,http://www.conecuh.k12.al.us,1455 Ted Bates Road,Evergreen,AL,36401,0100870,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Coosa County,(256)377-4913,http://coosaschools.k12.al.us,73 Nixburg Road,Rockford,AL,35136,0100900,Regular public school district that is not a component of a supervisory union,KG,12,
AL,ALABAMA,Covington County,(334)222-7571,http://www.cov.k12.al.us,807 C C Baker Ave,Andalusia,AL,36421,0100930,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Crenshaw County,(334)335-6519,http://www.crenshawcounty.schoolinsites.com,183 Votec Drive,Luverne,AL,36049,0100960,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Cullman City,(256)775-5803,http://www.cullmancats.net,301 1st St N E,Cullman,AL,35055,0100990,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Cullman County,(256)734-2933,http://www.ccboe.org,402 Arnold St NE,Cullman,AL,35055,0101020,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Dale County,(334)774-2355,http://www.dalecountyboe.org,202 S Hwy 123 Suite E,Ozark,AL,36360,0101050,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Daleville City,(334)598-2456,http://www.daleville.k12.al.us,626 N Daleville Ave,Daleville,AL,36322,0101080,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Dallas County,(334)875-3440,http://www.dallask12.org,429 Lauderdale St,Selma,AL,36701,0101110,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,DeKalb County,(256)638-6921,http://www.dekalbk12.org,306 Main St W,Rainsville,AL,35986,0101140,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Decatur City,(256)552-3000,http://www.dcs.edu,212 4th Ave SE,Decatur,AL,35601,0101170,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Demopolis City,(334)289-1670,http://www.dcsedu.com,609 South Cedar Avenue,Demopolis,AL,36732,0101200,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Dothan City,(334)793-1397,http://www.dothan.k12.al.us,1665 Honeysuckle Road,DOTHAN,AL,36301,0101230,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Elba City,(334)897-2801,,131 Tiger Dr,Elba,AL,36323,0101260,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Elmore County,(334)567-1200,http://www.elmoreco.com,100 H H Robison Drive,Wetumpka,AL,36092,0101290,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Enterprise City,(334)347-9531,http://www.enterpriseschools.net,220 Hutchinson St,Enterprise,AL,36330,0101320,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Escambia County,(251)867-6251,http://escambiak12.net,301 Belleville Ave,Brewton,AL,36426,0101350,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Etowah County,(256)549-7560,http://ecboe.org,401 Broad Street,Gadsden,AL,35901,0101380,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Eufaula City,(334)687-1100,http://www.eufaulacityschools.org,333 State Docks Road,Eufaula,AL,36027,0101410,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Fairfield City,(205)783-6850,http://www.fairfield.cyberschool.com,6405 Ave D,Fairfield,AL,35064,0101440,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Fayette County,(205)932-4611,http://www.fayette.k12.al.us,103 First Ave NW,Fayette,AL,35555,0101470,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Florence City,(256)768-3000,http://www.florencek12.org,102 S Court Street,Florence,AL,35630,0101530,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Fort Payne City,(256)845-0915,http://www.fpcsk12.com,205 45th St NE,Fort Payne,AL,35967,0101560,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Franklin County,(256)332-1360,http://www.franklin.k12.al.us,500 Coffee Ave NE,Russellville,AL,35653,0101590,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Gadsden City,(256)543-3512,http://www.gcs.k12.al.us,1026 Chestnut St,Gadsden,AL,35901,0101620,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Geneva City,(334)684-1090,http://www.genevacityschools.com,511 Panther Drive,Geneva,AL,36340,0101640,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Geneva County,(334)684-5690,http://www.genevacountyschools.com,606 S Academy St,Geneva,AL,36340,0101660,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Greene County,(205)372-3109,http://greenecoboe.greene.k12.al.us/,220 Main St,Eutaw,AL,35462,0101680,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Guntersville City,(256)582-3159,http://www.guntersvilleboe.com,4200 Highway 79 South,Guntersville,AL,35976,0101690,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Hale County,(334)624-8836,http://www.halek12.org,1115 Powers St,Greensboro,AL,36744,0101710,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Haleyville City,(205)486-9231,http://www.haley-k12.us,2011 20th St,Haleyville,AL,35565,0101720,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Hartselle City,(256)773-5419,http://www.hartselletigers.org,305 College St NE,Hartselle,AL,35640,0101730,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Henry County,(334)585-2206,http://www.henrycountyboe.org,300 N Trawick Street,Abbeville,AL,36310,0101740,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Homewood City,(205)870-4203,http://www.homewood.k12.al.us,450 Dale Avenue,Homewood,AL,35209,0101760,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Houston County,(334)792-8331,http://www.hcboe.us,404 West Washington St,Dothan,AL,36302,0101770,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Huntsville City,(256)428-6812,http://www.huntsvillecityschools.org,714 Bob Wallace Avenue,Huntsville,AL,35801,0101800,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Jackson County,(256)259-9500,http://www.jackson.k12.al.us,29727 Us Hwy 72 Suite A,Hollywood,AL,35752,0101830,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Jacksonville City,(256)782-5682,http://www.jcsboe.org,320 Branscomb Drive SW,Jacksonville,AL,36265,0101860,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Jasper City,(205)384-6880,http://www.jasper.k12.al.us,110 W 17th St,Jasper,AL,35501,0101890,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Jefferson County,(205)379-2000,http://www.jefcoed.com,2100 18th Street S,Birmingham,AL,35209,0101920,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Lamar County,(205)695-7615,http://www.lamarcountyk12.com,150 Butler Cir,Vernon,AL,35592,0101950,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Lanett City,(334)644-5900,http://www.lanettcityschools.org,105 North Lanier Ave,Lanett,AL,36863,0101980,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Lauderdale County,(256)760-1300,http://www.lcschools.org,355 County Road 61,Florence,AL,35634,0102010,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Lawrence County,(256)905-2400,http://www.lawrenceal.org,14131 Market St,Moulton,AL,35650,0102040,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Lee County,(334)705-6000,http://www.lee.k12.al.us,2410 Society Hill Road,Opelika,AL,36804,0102070,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Limestone County,(256)232-5353,http://www.lcsk12.org,300 S Jefferson St,Athens,AL,35611,0102100,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Linden City,(334)295-8802,http://lindencity.org,209 N Main St,Linden,AL,36748,0102130,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Lowndes County,(334)548-2131,http://www.lowndesboe.org,80 Commerce Street S,Hayneville,AL,36040,0102160,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Macon County,(334)727-1600,http://www.maconk12.org,303 Union Springs Road,Tuskegee,AL,36083,0102190,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Madison County,(256)852-2557,http://www.mcssk12.org,1275F Jordan Rd Bldg B,Huntsville,AL,35811,0102220,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Marengo County,(334)295-4123,http://marengo.k12.al.us,101 North Shiloh,Linden,AL,36748,0102250,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Marion County,(205)921-3191,http://www.mcbe.net,188 Winchester Dr,Hamilton,AL,35570,0102310,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Midfield City,(205)923-2262,http://www.midfield.k12.al.us,417 Parkwood St,Midfield,AL,35228,0102350,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Mobile County,(251)221-4394,http://www.mcpss.com,1 Magnum Pass,Mobile,AL,36618,0102370,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Monroe County,(251)743-2153,http://www.monroe.k12.al.us,109 Rosenwald Drive,Monroeville,AL,36460,0102400,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Montgomery County,(334)223-6710,http://www.mps.k12.al.us,632 S Union Street Building C,Montgomery,AL,36104,0102430,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Morgan County,(256)309-2105,http://www.morgank12.org,235 Highway 67 South,Decatur,AL,35603,0102480,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Mountain Brook City,(205)871-4608,http://www.mtnbrook.k12.al.us,32 Vine Street,Mountain Brook,AL,35213,0102490,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Muscle Shoals City,(256)389-2600,http://www.mscs.k12.al.us,3200 S Wilson Dam Rd,Muscle Shoals,AL,35661,0102520,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Oneonta City,(205)543-1515,http://www.oneontacityschools.com,28370 State Highway 75,Oneonta,AL,35121,0102550,Regular public school district that is not a component of a supervisory union,KG,12,
AL,ALABAMA,Opelika City,(334)745-9700,http://www.opelikaschools.org,300 Simmons Street,Opelika,AL,36801,0102580,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Opp City,(334)493-3173,http://www.oppcityschools.com,113 East Hart,Opp,AL,36467,0102610,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Oxford City,(256)241-3140,http://oxfordcityschools.com,402 Main Street,Oxford,AL,36203,0102635,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Ozark City,(334)774-5197,http://www.ozarkcityschools.net,860 N US HWY 231,Ozark,AL,36360,0102640,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Pell City,(205)884-4440,http://www.pellcityschools.net,3105 15th Avenue N,Pell City,AL,35125,0102650,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Perry County,(334)683-6528,http://perrycountyal.org,200 Monroe St,Marion,AL,36756,0102670,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Phenix City,(334)298-0534,http://www.pcboe.net,1212 Ninth Ave,Phenix City,AL,36867,0102700,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Pickens County,(205)367-2080,http://www.pickenscountyschools.net,377 Ladow Center Circle,Carrollton,AL,35447,0102730,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Piedmont City,(256)447-8831,http://www.piedmont.k12.al.us/websites/PiedmontCitySchools/PiedmontCityDistrict/,502 Hood St W,Piedmont,AL,36272,0102760,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Pike County,(334)566-1850,http://www.pikecountyschools.com,101 W Love Street,Troy,AL,36081,0102790,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Randolph County,(256)357-4611,http://www.randolphboe.org,182 Circle Drive,Wedowee,AL,36278,0102820,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Roanoke City,(800)674-7890,http://www.roanokecityschools.org,557 Main St,Roanoke,AL,36274,0102850,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Russell County,(334)855-2977,http://myrcsd.org,506 14th St,Phenix City,AL,36867,0102880,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Russellville City,(256)331-2000,http://www.rcs.k12.al.us,1945 Waterloo Rd,Russellville,AL,35653,0102910,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Scottsboro City,(256)218-2100,http://www.scottsboroschools.net,305 S Scott Street,Scottsboro,AL,35768,0102940,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Selma City,(334)874-1600,http://selmacityschools.org,2194 Broad Street,Selma,AL,36701,0102970,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Sheffield City,(256)383-0400,http://www.scs.k12.al.us,300 W 6th St,Sheffield,AL,35660,0103000,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Shelby County,(205)682-7000,http://www.shelbyed.k12.al.us,410 E College St,Columbiana,AL,35051,0103030,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,St Clair County,(205)594-7131,http://www.sccboe.org,410 Roy Drive,Ashville,AL,35953,0103062,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Sumter County,(205)652-9605,http://sumter.k12.al.us,Hwy 28 To Country Club Dr,Livingston,AL,35470,0103090,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Sylacauga City,(256)245-5256,http://www.scsboe.org,43 N Broadway Avenue,Sylacauga,AL,35150,0103120,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Talladega City,(256)315-5600,http://www.talladega-cs.net,501 South Street East,Talladega,AL,35160,0103150,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Talladega County,(256)315-5126,,106 W South St,Talladega,AL,35160,0103180,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Tallapoosa County,(256)825-0746,http://www.tallapoosak12.org,679 East Columbus Street,Dadeville,AL,36853,0103210,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Tallassee City,(334)283-6864,http://www.tcschools.com,308 King St,Tallassee,AL,36078,0103240,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Tarrant City,(205)849-3700,http://www.tarrant.k12.al.us,1318 Alabama St,Tarrant,AL,35217,0103270,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Thomasville City,(334)636-9955,http://www.thomasvilleschools.org,750 Gates Drive,Thomasville,AL,36784,0103300,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Troy City,(334)566-3741,http://www.troyschools.net,358 Elba Hwy,Troy,AL,36079,0103330,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Tuscaloosa City,(205)759-3560,http://www.tuscaloosacityschools.com,1210 Almon Avenue,Tuscaloosa,AL,35401,0103360,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Tuscaloosa County,(205)758-0411,http://www.tcss.net,2314 9th St,Tuscaloosa,AL,35403,0103390,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Tuscumbia City,(256)389-2900,http://www.tuscumbia.k12.al.us,303 North Commons Street East,Tuscumbia,AL,35674,0103420,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Vestavia Hills City,(205)402-5116,http://www.vestavia.k12.al.us,1204 Montgomery Hwy,Vestavia Hills,AL,35216,0103430,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Walker County,(205)387-0555,http://www.walkercountyschools.com,1710 Alabama Av,Jasper,AL,35501,0103450,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Washington County,(251)847-2401,http://wcbek12.org,229 Granade St,Chatom,AL,36518,0103480,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Wilcox County,(334)682-4716,http://www.wilcoxboe.org,75 Camden Bypass,Camden,AL,36726,0103510,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Winfield City,(205)487-4255,http://www.winfield.k12.al.us,481 Apple Ave,Winfield,AL,35594,0103540,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Winston County,(205)489-5018,http://www.winstonk12.org,25101 Highway 195,Double Springs,AL,35553,0103580,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Orange Beach City,(251)424-1730,http://orangebeachboe.org,4544 Orange Beach Blvd,Orange Beach,AL,36561,0103581,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Empower Schools of Alabama,(205)413-8600,http://www.empoweral.org,751A Academy Drive,Bessemer,AL,35020,0103582,Independent charter district,KG,08,
AL,ALABAMA,Covenant Academy of Mobile,(251)510-3671,http://camobile.us,4568 Halls Mill Road,Mobile,AL,36693,0103583,Independent charter district,KG,06,
AK,ALASKA,Lower Kuskokwim School District,(907)543-4912,http://www.lksd.org,1004 Ron Edwards Memorial Dr,Bethel,AK,99559,0200001,Regular public school district that is not a component of a supervisory union,PK,12,
AK,ALASKA,Lower Yukon School District,(907)591-2411,http://www.lysd.org/,100 Airport Rd,Mountain Village,AK,99632,0200003,Regular public school district that is not a component of a supervisory union,PK,12,
