RCDTS,DistrictName,Superintendent,Telephone,Website,City,CountyName,GradesServed,Mailing Address,Zip
030262020,St Elmo CUSD 202,Travis Portz,618-829-3264,http://www.stelmo.org,Saint Elmo,Fayette,P-12,1200 N Walnut St,62458 1368
030262030,Vandalia CUSD 203,Dr. Jennifer D Garrison,618-283-4525,http://vandals203.org,Vandalia,Fayette,P-12,1109 N 8th St,62471 1240
030262040,Ramsey CUSD 204,Mrs. Melissa Ritter,618-423-2335,http://www.ramsey.fayette.k12.il.us,Ramsey,Fayette,P-12,702 W 6th St,62080 0010
030680020,Panhandle CUSD 2,Mr. Aaron Hopper,217-229-4215,http://www.panhandleschools.com,Raymond,Montgomery,P-12,509 N Prairie St,62560 4906
030680030,Hillsboro CUSD 3,Hope McBrain,217-532-2942,http://www.hillsboroschools.net,Hillsboro,Montgomery,P-12,1311 Vandalia Rd,62049 2034
030680120,Litchfield CUSD 12,Dr. Kelly McClain,217-324-2157,http://www.litchfieldpanthers.org,Litchfield,Montgomery,P-12,PO Box 448,62056 0448
030680220,Nokomis CUSD 22,Dr. Scott E Doerr,217-563-7311,http://www.nokomis.k12.il.us,Nokomis,Montgomery,P-12,511 Oberle St,62075 1015
040041000,Belvidere CUSD 100,Dr. Cassandra J Schug,815-544-8513,http://www.district100.com,Belvidere,Boone,P-12,1201 5th Ave,61008 5125
040042000,North Boone CUSD 200,Dr. Matthew Cascio,815-765-3322,http://www.nbcusd.org,Poplar Grove,Boone,P-12,6248 N Boone School Rd,61065 8548
041011220,Harlem UD 122,Dr. Terrell Yarbrough,815-654-4500,http://www.harlem122.org,Machesney Park,Winnebago,P-12,8605 N 2nd St,61115 2003
041011310,Kinnikinnick CCSD 131,Mrs. Keli Freedlund,815-623-2837,http://www.kinn131.org,Roscoe,Winnebago,P-8,5410 Pine Ln,61073 7313
041011330,Prairie Hill CCSD 133,Mr. Clint Czizek,815-389-3964,http://prairiehill.org,South Beloit,Winnebago,P-8,6605 Prairie Hill Rd,61080 9530
041011340,Shirland CCSD 134,Dr. Ryan Wlodek,815-629-2000,http://shirland134.org,Shirland,Winnebago,K-8,PO Box 99,61079 0099
041011400,Rockton SD 140,Dr. Daniel Phelps,815-624-7143,http://www.rockton140.org,Rockton,Winnebago,P-8,1050 E Union St,61072 1628
041012050,Rockford SD 205,Dr. Ehren Jarrett,815-966-3000,http://www.rps205.com,Rockford,Winnebago,P-12,501 7th St,61104 1242
041012070,Hononegah CHD 207,Mr. Michael Dugan,815-624-5010,,Rockton,Winnebago,9-12,307 Salem St,61072 2630
041013200,County of Winnebago SD 320,Dr. Nikolas C Butenhoff,815-389-3478,http://www.sb320.org,South Beloit,Winnebago,P-12,850 Hayes Ave,61080 2119
041013210,Pecatonica CUSD 321,Mr. Carl Carlson,815-239-1639,,Pecatonica,Winnebago,P-12,PO Box 419,61063 0419
041013220,Durand CUSD 322,Mr. Kurt Alberstett,815-248-2171,http://www.durandbulldogs.com,Durand,Winnebago,P-12,200 W South St,61024 9403
041013230,Winnebago CUSD 323,Dr. John Schwuchow,815-335-2456,http://www.winnebagoschools.org,Winnebago,Winnebago,P-12,304 E McNair Rd,61088 9014
050160150,Palatine CCSD 15,Dr. Laurie Heinz,847-963-3000,http://www.ccsd15.net,Palatine,Cook,P-8,580 N 1st Bank Dr,60067 8110
050160210,Wheeling CCSD 21,Dr. Michael Connolly,847-537-8270,http://www.ccsd21.org,Wheeling,Cook,P-8,959 W Dundee Rd,60090
050160230,Prospect Heights SD 23,Dr. Don Angelaccio,847-870-3850,http://www.d23.org,Prospect Heights,Cook,P-8,700 N Schoenbeck Rd,60070 1231
050160250,Arlington Heights SD 25,Dr. Brian Kaye,847-758-4900,http://www.sd25.org,Arlington Heights,Cook,P-8,1200 S Dunton Ave,60005 3111
050160260,River Trails SD 26,Dr. Jodi Megerle,847-297-4120,,Mt Prospect,Cook,P-8,1900 E Kensington Rd,60056 1924
050160270,Northbrook ESD 27,Dr. John B Deiter,847-498-2610,http://www.nb27.org,Northbrook,Cook,P-8,1250 Sanders Rd,60062 2900
050160280,Northbrook SD 28,Dr. Jason Pearson,847-498-7900,http://www.northbrook28.net,Northbrook,Cook,P-8,1475 Maple Ave,60062 5418
050160290,Sunset Ridge SD 29,Dr. Edward J Stange,847-881-9456,http://www.sunsetridge29.org,Northfield,Cook,P-8,525 Sunset Ridge Rd,60093 1025
050160300,Northbrook/Glenview SD 30,Dr. Emily Tammaru,847-498-4190,http://www.district30.org,Northbrook,Cook,P-8,2374 Shermer Rd,60062 6729
050160310,West Northfield SD 31,Dr. Erin  Murphy,847-272-6880,http://www.district31.net,Northbrook,Cook,P-8,3131 Techny Rd,60062 5857
050160340,Glenview CCSD 34,Dr. Dane Delli,847-998-5005,http://www.glenview34.org,Glenview,Cook,P-8,1401 Greenwood Rd,60026 1511
050160350,Glencoe SD 35,Dr. Catherine G Wang,847-835-7800,http://www.glencoeschools.org,Glencoe,Cook,K-8,620 Greenwood Ave,60022 1650
050160360,Winnetka SD 36,Dr. Kelly Tess,847-446-9400,http://www.winnetka36.org,Winnetka,Cook,P-8,1235 Oak St,60093 2168
050160370,Avoca SD 37,Dr. Sandra Arreguin,847-251-3587,http://avoca37.org,Wilmette,Cook,P-8,2921 Illinois Rd,60091 1103
050160380,Kenilworth SD 38,Ms. Kate Donegan,847-256-5006,http://www.kenilworth38.org,Kenilworth,Cook,P-8,542 Abbotsford Rd,60043 1161
050160390,Wilmette SD 39,Dr. Kari Cremascoli,847-512-6030,http://www.wilmette39.org,Wilmette,Cook,P-8,615 Locust Rd,60091 2237
050160540,Schaumburg CCSD 54,Mr. Andrew D DuRoss,847-357-5000,http://www.sd54.org,Schaumburg,Cook,P-8,524 E Schaumburg Rd,60194 3510
050160570,Mount Prospect SD 57,Dr. Mary Gorr,847-394-7300,http://www.d57.org,Mt Prospect,Cook,P-8,701 W Gregory St,60056 2220
050160590,Comm Cons SD 59,Dr. Terri Bresnahan,847-593-4300,http://www.ccsd59.org,Elk Grove Vlg,Cook,P-8,1001 Leicester Rd,60007 3443
050160620,CCSD 62,Dr. Michael Amadei,847-824-1136,http://www.d62.org,Des Plaines,Cook,P-8,777 E Algonquin Rd,60016 6251
050160630,East Maine SD 63,Dr. Shawn Schleizer,847-299-1900,http://www.emsd63.org,Des Plaines,Cook,P-8,10150 Dee Rd,60016 1512
050160640,Park Ridge CCSD 64,Dr. Ben Collins,847-318-4300,http://d64.org,Niles,Cook,P-8,8182 W Greendale Ave,60714
050160650,Evanston CCSD 65,Dr. Angel Turner,847-859-8010,http://www.district65.net,Evanston,Cook,P-8,1500 McDaniel Ave,60201 3976
050160670,Golf ESD 67,Dr. Susan Coleman,847-966-8200,http://www.golf67.net,Morton Grove,Cook,P-8,9401 Waukegan Rd,60053 1353
050160680,Skokie SD 68,Dr. Scott Grens,847-676-9000,http://www.skokie68.org,Skokie,Cook,P-8,9440 Kenton Ave,60076 1338
050160690,Skokie SD 69,Dr. Margaret Clauson,847-675-7666,http://www.sd69.org,Skokie,Cook,P-8,5050 Madison St,60077 2578
050160700,Morton Grove SD 70,Mr. Matthew Condon,847-965-6200,http://www.mgsd70.org,Morton Grove,Cook,P-8,6200 Lake St,60053 2416
050160710,Niles ESD 71,Dr. John Kosirog,847-470-3407,http://www.niles71.org,Niles,Cook,P-8,6901 W Oakton St,60714 3024
050160720,Fairview SD 72,Dr. Cindy Whittaker,847-929-1050,http://www.fairview72.com,Skokie,Cook,P-8,7040 Laramie Ave,60077 3443
050160730,East Prairie SD 73,Dr. Paul Goldberg,847-673-1141,http://www.eps73.net,Skokie,Cook,P-8,7616 E Prairie Rd,60076 3758
050160735,Skokie SD 73-5,Dr. Charles Kyle,847-324-0509,http://www.sd735.org,Skokie,Cook,P-8,8000 E Prairie Rd,60076 3402
050160740,Lincolnwood SD 74,Dr. David Russo,847-675-8234,http://sd74.org,Lincolnwood,Cook,P-8,6950 N East Prairie Rd,60712 2520
050162020,Evanston Twp HSD 202,Dr. Marcus Campbell,847-424-7220,http://www.eths.k12.il.us,Evanston,Cook,9-12,1600 Dodge Ave,60201 3449
050162030,New Trier Twp HSD 203,Dr. Peter Tragos,847-784-6109,https://www.newtrier.k12.il.us/,Northfield,Cook,9-12,7 Happ Rd,60093 3411
050162070,Maine Township HSD 207,Dr. Tatiana M Bonuma Dos Santos,847-696-3600,http://www.maine207.org,Park Ridge,Cook,9-12,1177 S Dee Rd,60068 4379
050162110,Township HSD 211,Dr. Judith Campbell,847-755-6600,https://adc.d211.org/,Palatine,Cook,9-12,1750 S Roselle Rd,60067 7302
050162140,Township HSD 214,Dr. Scott Rowe,847-718-7600,http://www.d214.org,Arlington Heights,Cook,9-12,2121 S Goebbert Rd,60005 4205
050162190,Niles Twp HSD 219,Mr. Thomas Moore,847-626-3960,http://www.niles219.org,Skokie,Cook,9-12,7700 Gross Point Rd,60077 2614
050162250,Glenbrook HSD 225,Dr. Raoul J Gravel III,847-998-6100,http://www.glenbrook225.org,Glenview,Cook,9-12,3801 W Lake Ave,60026 1292
060160780,Rosemont ESD 78,Dr. William Pender,847-825-0144,,Rosemont,Cook,P-8,6101 Ruby St,60018 4450
060160790,Pennoyer SD 79,Dr. Kristin Kopta,708-967-2840,http://www.pennoyerschool.org,Norridge,Cook,P-8,5200 N Cumberland Ave,60706 1499
060160800,Norridge SD 80,Mrs. Michele Guzik,708-583-2068,http://www.norridge80.org,Norridge,Cook,P-8,8151 W Lawrence Ave,60706 3136
060160810,Schiller Park SD 81,Dr. Melissa  Kartsimas,847-671-1816,http://www.sd81.org,Schiller Park,Cook,P-8,9760 Soreng Ave,60176 2105
060160830,Mannheim SD 83,Dr. Diego Giraldo,847-455-4413,http://www.d83.org,Franklin Park,Cook,P-8,10401 Grand Ave,60131 2208
060160840,Franklin Park SD 84,Dr. David H Katzin,847-455-4230,http://www.d84.org,Franklin Park,Cook,P-8,2915 Maple St,60131 3031
060160845,Rhodes SD 84-5,James Prather,708-453-1266,http://www.rhodes.k12.il.us,River Grove,Cook,P-8,8931 Fullerton Ave,60171 1810
060160855,River Grove SD 85-5,Dr. Jan Rashid,708-453-6172,http://www.rivergroveschool.org,River Grove,Cook,P-8,2650 Thatcher Ave,60171 1650
060160860,Union Ridge SD 86,Mr. Michael Maguire,708-867-5822,http://www.urs86.org,Harwood Heights,Cook,P-8,4600 N Oak Park Ave,60706 4823
060160870,Berkeley SD 87,Dr. Dan Sullivan,708-449-3350,http://www.berkeley87.org,Berkeley,Cook,P-8,1200 N Wolf Rd,60163 1219
060160880,Bellwood SD 88,Dr. Victoria H Stockton,708-410-3028,http://www.sd88.org,Bellwood,Cook,P-8,640 Eastern Ave,60104 1878
060160890,Maywood-Melrose Park-Broadview 89,Dr. Algeanna Griffin,708-427-8591,http://www.maywood89.org,Melrose Park,Cook,P-8,906 Walton St,60160 3540
060160900,River Forest SD 90,Dr. Edward J Condon,708-771-8282,,River Forest,Cook,P-8,7776 Lake St,60305 1735
060160910,Forest Park SD 91,Dr. Robert Hubbird,708-366-5700,http://www.fpsd91.org,Forest Park,Cook,P-8,424 Des Plaines Ave,60130 1718
060160920,Lindop SD 92,Dr. Emily Erickson-Betz,708-786-6458,http://lindop92.net,Broadview,Cook,P-8,2400 S 18th Ave,60155 3930
060160925,Westchester SD 92-5,Dr. Philip Salemi,708-450-2700,http://www.sd925.org,Westchester,Cook,P-8,9981 Canterbury St,60154 4424
060160930,Hillside SD 93,Dr. Antonia Lippitt-Hill,708-449-6490,http://www.hillside93.org,Hillside,Cook,P-8,4804 Harrison St,60162 1601
060160940,Komarek SD 94,Dr. Todd Fitzgerald,708-447-8030,http://www.komarekschool.org,North Riverside,Cook,P-8,8940 W 24th St,60546 1158
060160950,Brookfield Lagrange Park SD 95,Mr. Ryan Evans,708-485-0606,,Brookfield,Cook,P-8,3724 Prairie Ave,60513 1612
060160960,Riverside SD 96,Dr. Martha RyanToye,708-447-5007,http://www.district96.org,Riverside,Cook,P-8,3340 Harlem Ave,60546 2126
060160970,Oak Park ESD 97,Mr. Patrick Robinson,708-524-3000,http://www.op97.org,Oak Park,Cook,P-8,260 Madison St,60302 4112
060160980,Berwyn North SD 98,Dr. Michelle Smith,708-484-6200,http://www.bn98.org,Berwyn,Cook,P-8,6633 16th St,60402 1320
060160990,Cicero SD 99,Dr. Aldo Calderin,708-863-4856,http://www.cicd99.edu,Cicero,Cook,P-8,5110 W 24th St,60804 2948
060161000,Berwyn South SD 100,Dr. Mary Havis,708-795-2300,http://www.bsd100.org,Berwyn,Cook,P-8,3401 Gunderson Ave,60402 3771
060161010,Western Springs SD 101,Dr. Sarah L Coffey,708-246-3700,,Western Springs,Cook,P-8,4225 Wolf Rd,60558 1453
060161020,La Grange SD 102,Dr. Christopher Covino,708-482-2400,http://www.dist102.k12.il.us,La Grange Park,Cook,P-8,333 N Park Rd,60526 1802
060161030,Lyons SD 103,Mr. Kristopher Rivera,708-783-4100,http://www.lyons103.org,Lyons,Cook,P-8,4100 Joliet Ave,60534 1513
060161050,La Grange SD 105 South,Dr. Brian Ganan,708-482-2700,http://d105.net,La Grange,Cook,P-8,701 7th Ave,60525 6705
060161060,LaGrange Highlands SD 106,Mr. John Munch,708-246-3085,http://www.district106.net,La Grange Highlands,Cook,P-8,1750 W Plainfield Rd,60525 3727
060161070,Pleasantdale SD 107,Dr. David Palzet,708-784-2013,http://www.d107.org,Burr Ridge,Cook,P-8,7450 Wolf Rd,60527 7714
060162000,Oak Park - River Forest SD 200,Dr. Gregory Johnson,708-383-0700,http://www.oprfhs.org,Oak Park,Cook,9-12,201 N Scoville Ave,60302 2264
060162010,J S Morton HSD 201,Dr. Michael Kuzniewski,708-780-2800,http://www.morton201.org/,Cicero,Cook,9-12,5801 W Cermak Rd,60804 2102
060162040,Lyons Twp HSD 204,Dr. Brian P Waterman,708-579-6451,,La Grange,Cook,9-12,100 S Brainard Ave,60525 2101
060162080,Riverside-Brookfield Twp SD 208,Dr. Kevin Skinkis,708-442-7500,http://rbhs208.net,Riverside,Cook,9-12,160 Ridgewood Rd,60546 2408
060162090,Proviso Twp HSD 209,Mr. Krish Mohip,708-338-5913,http://www.pths209.org,Forest Park,Cook,9-12,8601 Roosevelt Rd,60130 2532
060162120,Leyden CHSD 212,Dr. Nick Polyak,847-451-3020,http://www.leyden212.org,Franklin Park,Cook,9-12,3400 Rose St,60131 2155
060162340,Ridgewood CHSD 234,Dr. Jennifer Kelsall,708-456-4242,http://www.d234.org,Norridge,Cook,9-12,7500 W Montrose Ave,60706 1153
060164010,Elmwood Park CUSD 401,Dr. Leah Gauthier,708-583-5831,http://www.epcusd401.org,Elmwood Park,Cook,P-12,8201 W Fullerton Ave,60707 2449
070161040,Summit SD 104,Dr. David Negron,708-458-0505,,Summit Argo,Cook,P-8,7505 West 63rd Street,60501
070161080,Willow Springs SD 108,Mr. Steve Bahn,708-839-6828,http://www.willowspringsschool.org,Willow Springs,Cook,K-8,8345 Archer Ave,60480 1402
070161090,Indian Springs SD 109,Mrs. Crystal Skoczylas,708-496-8700,http://www.isd109.org,Justice,Cook,P-8,7540 S 86th Ave,60458 1168
070161100,Central Stickney SD 110,Ms. Erin Hackett,708-458-1152,http://www.sahs.k12.il.us,Chicago,Cook,P-8,5001 S Long Ave,60638 1733
070161110,Burbank SD 111,Dr. Franzy Fleck,708-496-0500,http://www.bsd111.org,Burbank,Cook,P-8,7600 Central Ave,60459 1308
07016113A,Lemont-Bromberek CSD 113A,Dr. Courtney Orzel,630-257-2286,http://www.sd113a.org,Lemont,Cook,P-8,16100 W 127th St,60439 7462
070161170,North Palos SD 117,Dr. Christine Droba,708-598-5500,http://www.npd117.net,Palos Hills,Cook,P-8,7825 W 103rd St,60465 1676
070161180,Palos CCSD 118,Dr. Anthony M Scarsella,708-448-4800,http://www.palos118.org,Palos Park,Cook,P-8,8800 W 119th St,60464 1081
070161220,Ridgeland SD 122,Mr. Joseph E Matise,708-599-5550,http://www.ridgeland122.com,Oak Lawn,Cook,P-8,6500 W 95th St,60453 2167
070161230,Oak Lawn-Hometown SD 123,Dr. Paul Enderle,708-423-0150,http://www.d123.org,Oak Lawn,Cook,P-8,4201 W 93rd St,60453 1998
070161240,Evergreen Park ESD 124,Dr. Jenna L Woodland,708-423-0950,http://www.d124.org,Evergreen Park,Cook,P-8,2929 W 87th St,60805 1036
070161250,Atwood Heights SD 125,Mrs. Lisa Cole,708-371-0080,http://www.ahsd125.org,Alsip,Cook,P-8,12150 S Hamlin Ave,60803 1218
070161260,Alsip-Hazlgrn-Oaklwn SD 126,Mr. Craig Gwaltney,708-389-1900,http://www.dist126.org,Alsip,Cook,P-8,11900 S Kostner Ave,60803 2307
070161270,Worth SD 127,Dr. Mark Fleming,708-448-2800,http://www.worthschools.org,Worth,Cook,P-8,11218 S Ridgeland Ave,60482 1970
070161275,Chicago Ridge SD 127-5,Dr. Adam Thorns,708-636-2000,http://www.crsd1275.org,Chicago Ridge,Cook,P-8,6135 108th St,60415 2190
070161280,Palos Heights SD 128,Dr. Merryl Brownlow,708-597-9040,http://www.palos128.org,Palos Heights,Cook,P-8,12809 S McVickers Ave,60463 2351
070161300,Cook County SD 130,Dr. Colleen M McKay,708-385-6800,,Blue Island,Cook,P-8,12300 Greenwood Ave,60406 1558
070161320,Calumet Public SD 132,Dr. Adrienne Saverson,708-388-8920,http://www.sd132.org,Calumet Park,Cook,P-8,1440 W Vermont Ave,60827 6328
070161330,Gen George Patton SD 133,Mr. David L Brown,708-841-3955,http://www.district133.org,Riverdale,Cook,P-8,150 W 137th St,60827 1613
070161350,Orland SD 135,John Bryk,708-364-3306,http://www.orland135.org,Orland Park,Cook,P-8,15100 S 94th Ave,60462 3291
070161400,Kirby SD 140,Dr. Daniel Callaghan,708-532-6462,http://ksd140.org,Tinley Park,Cook,P-8,16931 Grissom Dr,60477 2318
070161420,Forest Ridge SD 142,Dr. Kristine Roth,708-687-3334,http://www.d142.org,Oak Forest,Cook,P-8,5800 151St St,60452 1940
070161430,Midlothian SD 143,Dr. Angela M Crotty,708-388-6450,http://www.msd143.com,Midlothian,Cook,P-8,14959 Pulaski Rd,60445 3436
070161435,Posen-Robbins ESD 143-5,Dr. Anthony Edison,708-388-7200,http://www.prsd1435.org,Posen,Cook,P-8,14011 S Harrison Ave,60469 1025
070161440,Prairie-Hills ESD 144,Dr. Kinasha Brown,708-210-2898,,Markham,Cook,P-8,3015 W 163rd St,60428 5626
070161450,Arbor Park SD 145,Dr. Andrea L Sala,708-687-8040,http://arbor145.org,Oak Forest,Cook,P-8,17301 Central Ave,60452 4920
070161460,CCSD 146,Dr. Jeff Stawick,708-614-4500,http://www.district146.org,Tinley Park,Cook,P-8,6611 171st St,60477 3514
070161470,W Harvey-Dixmoor PSD 147,Dr. Kenneth Scott,708-339-9500,http://www.whd147.org,Harvey,Cook,P-8,191 W 155th Pl,60426 3413
070161480,Dolton SD 148,Dr. Sheila Harrison-Williams,708-841-2290,http://www.district148.net,Riverdale,Cook,P-8,114 W 144th St,60827 2703
070161490,Dolton SD 149,Dr. Maureen M White,708-868-7868,http://www.schooldistrict149.org,Calumet City,Cook,P-8,292 Torrence Ave,60409 1941
070161500,South Holland SD 150,Dr. Jerome Ferrell,708-339-4240,http://www.sd150.org,South Holland,Cook,P-8,848 E 170th St,60473 3413
070161510,South Holland SD 151,Dr. Teresa D Hill,708-339-1516,http://www.shsd151.org,South Holland,Cook,P-8,525 E 162nd St,60473 2384
070161520,Harvey SD 152,Dr. Reginald Lawrence,708-333-0300,http://www.harvey152.org,Harvey,Cook,P-8,16001 Lincoln Ave,60426 4916
070161525,Hazel Crest SD 152-5,Dr. Cynthia  Levy,708-335-0790,,E Hazel Crest,Cook,P-8,1223 173Rd St,60429 1919
070161530,Homewood SD 153,Dr. Scott E McAlister,708-799-8721,,Homewood,Cook,P-8,18205 Aberdeen St,60430 2417
070161540,Thornton SD 154,Dr. Thomas Hurlburt,708-877-5160,http://www.d154.org,Thornton,Cook,P-8,200 N Wolcott St,60476 1254
070161545,Burnham SD 154-5,Mr. Stephen Geraci,708-862-8636,http://www.d1545.org,Burnham,Cook,K-8,13945 S Green Bay Ave,60633 1671
070161550,Calumet City SD 155,Dr. Joseph H Zotto,708-868-7926,http://www.calumetcity155.org,Calumet City,Cook,P-8,540 Superior Ave,60409 3452
070161560,Lincoln ESD 156,Dr. Anita Rice,708-862-6625,http://l156.org,Calumet City,Cook,P-8,912 Burnham Ave,60409
070161570,Hoover-Schrum Memorial SD 157,Dr. Dwayne Evans,708-868-7500,http://www.hsdist157.org,Calumet City,Cook,P-8,1255 Superior Ave,60409 5703
070161580,Lansing SD 158,Dr. Nathan Schilling,708-474-6700,http://www.d158.net,Lansing,Cook,P-8,18300 Greenbay Ave,60438 3009
070161590,ESD 159,Dr. Tiffany Brunson,708-720-1300,http://www.dist159.com,Matteson,Cook,P-8,20700 Matteson Ave,60443 1058
070161600,Country Club Hills SD 160,Dr. Denise Julius,708-957-6200,,Country Club Hills,Cook,P-8,4411 185th St,60478 4501
070161610,Flossmoor SD 161,Dr. Dana Smith,708-647-7038,http://www.sd161.org,Chicago Heights,Cook,P-8,41 E Elmwood Dr,60411 1104
070161620,Matteson ESD 162,Dr. Blondean Davis,708-748-0100,,Richton Park,Cook,P-8,4601 Sauk Trl,60471 1470
070161630,Park Forest - Chicago Heights School District 163,Dr. Ericka Patterson,708-668-9400,,Park Forest,Cook,P-8,242 S Orchard Dr,60466 2041
070161670,Brookwood SD 167,Ms. Bethany Lindsay,708-758-5190,http://www.brookwood167.org,Glenwood,Cook,P-8,201 E Glenwood Dyer Rd,60425 1845
070161680,CCSD 168,Dr. Donna Leak,708-758-1614,http://www.d168.org,Sauk Village,Cook,P-8,21899 Torrence Ave,60411 4489
070161690,Ford Heights SD 169,Dr. Gregory T Jackson,708-758-1370,,Ford Heights,Cook,P-8,910 Woodlawn Ave,60411 2299
070161700,Chicago Heights SD 170,Thomas J Amadio,708-756-4165,https://www.sd170.com,Chicago Heights,Cook,P-8,30 W 16th St,60411 3412
070161710,Sunnybrook SD 171,Dr. Erika Millhouse Pettis,708-895-0750,http://www.sd171.org,Lansing,Cook,P-8,19266 Burnham Ave,60438 3822
070161720,Sandridge SD 172,Dr. Kim Nalls,708-895-8339,http://www.d172.s-cook.k12.il.us/,Lynwood,Cook,P-8,2950 Glenwood Dyer Rd,60411 9755
070161940,Steger SD 194,Dr. Anthony McConnell,708-753-4300,http://www.sd194.org,Steger,Cook,P-8,3753 Park Ave,60475 1818
070162050,Thornton Twp HSD 205,Dr. Nathaniel Cunningham,708-225-4020,http://www.district205.net,South Holland,Cook,9-12,465 E 170th St,60473 3400
